A	B	dist
D.sec-1	D.car-2	0.04682878652592269
D.sec-1	D.car-3	0.04682878652592269
D.sec-1	D.car-4	0.04682878652592269
D.sec-1	D.car-5	0.04682878652592269
D.sec-1	D.car-6	0.04682878652592269
D.sec-1	D.car-7	0.04682878652592269
D.sec-1	D.equ-1	0.02247002594930175
D.sec-1	D.equ-2	0.02247002594930175
D.sec-1	D.equ-3	0.028214073396171248
D.sec-1	D.equ-4	0.02247002594930175
D.sec-1	D.ins-1	0.03548827248545464
D.sec-1	D.ins-2	0.03548827248545464
D.sec-1	D.ins-3	0.03548827248545464
D.sec-1	D.ins-4	0.035488272485454636
D.sec-1	D.sec-1	0
D.sec-1	D.sec-2	0.0015206422950181462
D.sec-1	D.sec-3	3.545770150076717e-4
D.sec-1	D.sec-4	0.0015206422950181462
D.sec-1	D.sec-5	0.0010267011913034833
D.sec-1	D.sec-6	0.0010267011913034836
D.sec-1	D.tro-1	0.02247002594930175
D.sec-1	D.tro-2	0.02247002594930175
D.sec-1	D.tro-3	0.022470025949301753
D.sec-1	D.tro-4	0.02247002594930175
D.sec-1	D.tro-5	0.02247002594930175
D.sec-1	DmelR7-1	0.003993672890608956
D.sec-1	DmelR7-10	0.02115780899380344
D.sec-1	DmelR7-11	0.003993672890608956
D.sec-1	DmelR7-12	0.003993672890608956
D.sec-1	DmelR7-13	0.003993672890608956
D.sec-1	DmelR7-14	0.003993672890608956
D.sec-1	DmelR7-15	0.003993672890608956
D.sec-1	DmelR7-16	0.003993672890608955
D.sec-1	DmelR7-17	0.02115780899380344
D.sec-1	DmelR7-18	0.003993672890608956
D.sec-1	DmelR7-19	0.003993672890608955
D.sec-1	DmelR7-2	0.003993672890608956
D.sec-1	DmelR7-20	0.003993672890608955
D.sec-1	DmelR7-21	0.003993672890608955
D.sec-1	DmelR7-3	0.003993672890608955
D.sec-1	DmelR7-4	0.003993672890608956
D.sec-1	DmelR7-5	0.003993672890608955
D.sec-1	DmelR7-6	0.003993672890608955
D.sec-1	DmelR7-7	0.003993672890608955
D.sec-1	DmelR7-8	0.003993672890608955
D.sec-1	DmelR7-9	0.003993672890608956
D.sec-1	Dpau06-1	0.022470025949301753
D.sec-1	Dpau06-2	0.03287687480331244
D.sec-1	Dpau06-3	0.022470025949301753
D.sec-1	Dpau06-4	0.02247002594930175
D.sec-1	Dpau06-5	0.02247002594930175
D.sec-1	Dpau06-6	0.02247002594930175
D.sec-1	Dpau06-7	0.03287687480331244
D.sec-1	Dpau06-8	0.022470025949301753
D.sec-1	Dpau06-9	0.022470025949301753
D.sec-1	DsimS9-1	0.004348367210671657
D.sec-1	DsimS9-10	0.009847221949304152
D.sec-1	DsimS9-11	0.004348367210671657
D.sec-1	DsimS9-12	0.004348367210671657
D.sec-1	DsimS9-13	0.004348367210671658
D.sec-1	DsimS9-14	0.009847221949304152
D.sec-1	DsimS9-2	0.004348367210671657
D.sec-1	DsimS9-3	0.004348367210671657
D.sec-1	DsimS9-4	0.004348367210671657
D.sec-1	DsimS9-5	0.004348367210671657
D.sec-1	DsimS9-6	0.01071814526367422
D.sec-1	DsimS9-7	0.004348367210671658
D.sec-1	DsimS9-8	0.009847221949304152
D.sec-1	DsimS9-9	0.004348367210671657
D.sec-1	Dwil17-2	0.02247002594930175
D.sec-1	Dwil17-3	0.035488272485454636
D.sec-1	Dwil17-4	0.02247002594930175
D.sec-2	D.car-2	0.0468287865259227
D.sec-2	D.car-3	0.0468287865259227
D.sec-2	D.car-4	0.0468287865259227
D.sec-2	D.car-5	0.0468287865259227
D.sec-2	D.car-6	0.0468287865259227
D.sec-2	D.car-7	0.0468287865259227
D.sec-2	D.equ-1	0.02247002594930175
D.sec-2	D.equ-2	0.02247002594930175
D.sec-2	D.equ-3	0.028214073396171248
D.sec-2	D.equ-4	0.02247002594930175
D.sec-2	D.ins-1	0.03548827248545464
D.sec-2	D.ins-2	0.03548827248545464
D.sec-2	D.ins-3	0.03548827248545464
D.sec-2	D.ins-4	0.035488272485454636
D.sec-2	D.sec-1	0.0015206422950181462
D.sec-2	D.sec-2	0
D.sec-2	D.sec-3	0.0015206422950181462
D.sec-2	D.sec-4	7.243000559694441e-4
D.sec-2	D.sec-5	0.001520642295018146
D.sec-2	D.sec-6	0.0015206422950181462
D.sec-2	D.tro-1	0.02247002594930175
D.sec-2	D.tro-2	0.02247002594930175
D.sec-2	D.tro-3	0.022470025949301753
D.sec-2	D.tro-4	0.02247002594930175
D.sec-2	D.tro-5	0.02247002594930175
D.sec-2	DmelR7-1	0.003993672890608956
D.sec-2	DmelR7-10	0.021157808993803442
D.sec-2	DmelR7-11	0.003993672890608956
D.sec-2	DmelR7-12	0.003993672890608956
D.sec-2	DmelR7-13	0.003993672890608956
D.sec-2	DmelR7-14	0.003993672890608956
D.sec-2	DmelR7-15	0.003993672890608956
D.sec-2	DmelR7-16	0.003993672890608955
D.sec-2	DmelR7-17	0.021157808993803442
D.sec-2	DmelR7-18	0.003993672890608956
D.sec-2	DmelR7-19	0.003993672890608955
D.sec-2	DmelR7-2	0.003993672890608956
D.sec-2	DmelR7-20	0.003993672890608955
D.sec-2	DmelR7-21	0.003993672890608955
D.sec-2	DmelR7-3	0.003993672890608955
D.sec-2	DmelR7-4	0.003993672890608956
D.sec-2	DmelR7-5	0.003993672890608955
D.sec-2	DmelR7-6	0.003993672890608955
D.sec-2	DmelR7-7	0.003993672890608955
D.sec-2	DmelR7-8	0.003993672890608955
D.sec-2	DmelR7-9	0.003993672890608956
D.sec-2	Dpau06-1	0.022470025949301753
D.sec-2	Dpau06-2	0.03287687480331244
D.sec-2	Dpau06-3	0.022470025949301753
D.sec-2	Dpau06-4	0.02247002594930175
D.sec-2	Dpau06-5	0.02247002594930175
D.sec-2	Dpau06-6	0.02247002594930175
D.sec-2	Dpau06-7	0.03287687480331244
D.sec-2	Dpau06-8	0.022470025949301753
D.sec-2	Dpau06-9	0.022470025949301753
D.sec-2	DsimS9-1	0.004348367210671658
D.sec-2	DsimS9-10	0.009847221949304152
D.sec-2	DsimS9-11	0.004348367210671658
D.sec-2	DsimS9-12	0.004348367210671658
D.sec-2	DsimS9-13	0.004348367210671658
D.sec-2	DsimS9-14	0.009847221949304152
D.sec-2	DsimS9-2	0.004348367210671658
D.sec-2	DsimS9-3	0.004348367210671658
D.sec-2	DsimS9-4	0.004348367210671658
D.sec-2	DsimS9-5	0.004348367210671658
D.sec-2	DsimS9-6	0.01071814526367422
D.sec-2	DsimS9-7	0.004348367210671658
D.sec-2	DsimS9-8	0.009847221949304152
D.sec-2	DsimS9-9	0.004348367210671658
D.sec-2	Dwil17-2	0.02247002594930175
D.sec-2	Dwil17-3	0.035488272485454636
D.sec-2	Dwil17-4	0.02247002594930175
D.sec-3	D.car-2	0.04682878652592269
D.sec-3	D.car-3	0.04682878652592269
D.sec-3	D.car-4	0.04682878652592269
D.sec-3	D.car-5	0.04682878652592269
D.sec-3	D.car-6	0.04682878652592269
D.sec-3	D.car-7	0.04682878652592269
D.sec-3	D.equ-1	0.02247002594930175
D.sec-3	D.equ-2	0.02247002594930175
D.sec-3	D.equ-3	0.028214073396171248
D.sec-3	D.equ-4	0.02247002594930175
D.sec-3	D.ins-1	0.03548827248545464
D.sec-3	D.ins-2	0.03548827248545464
D.sec-3	D.ins-3	0.03548827248545464
D.sec-3	D.ins-4	0.035488272485454636
D.sec-3	D.sec-1	3.545770150076717e-4
D.sec-3	D.sec-2	0.0015206422950181462
D.sec-3	D.sec-3	0
D.sec-3	D.sec-4	0.0015206422950181462
D.sec-3	D.sec-5	0.0010267011913034833
D.sec-3	D.sec-6	0.0010267011913034836
D.sec-3	D.tro-1	0.02247002594930175
D.sec-3	D.tro-2	0.02247002594930175
D.sec-3	D.tro-3	0.022470025949301753
D.sec-3	D.tro-4	0.02247002594930175
D.sec-3	D.tro-5	0.02247002594930175
D.sec-3	DmelR7-1	0.003993672890608956
D.sec-3	DmelR7-10	0.02115780899380344
D.sec-3	DmelR7-11	0.003993672890608956
D.sec-3	DmelR7-12	0.003993672890608956
D.sec-3	DmelR7-13	0.003993672890608956
D.sec-3	DmelR7-14	0.003993672890608956
D.sec-3	DmelR7-15	0.003993672890608956
D.sec-3	DmelR7-16	0.003993672890608955
D.sec-3	DmelR7-17	0.02115780899380344
D.sec-3	DmelR7-18	0.003993672890608956
D.sec-3	DmelR7-19	0.003993672890608955
D.sec-3	DmelR7-2	0.003993672890608956
D.sec-3	DmelR7-20	0.003993672890608955
D.sec-3	DmelR7-21	0.003993672890608955
D.sec-3	DmelR7-3	0.003993672890608955
D.sec-3	DmelR7-4	0.003993672890608956
D.sec-3	DmelR7-5	0.003993672890608955
D.sec-3	DmelR7-6	0.003993672890608955
D.sec-3	DmelR7-7	0.003993672890608955
D.sec-3	DmelR7-8	0.003993672890608955
D.sec-3	DmelR7-9	0.003993672890608956
D.sec-3	Dpau06-1	0.022470025949301753
D.sec-3	Dpau06-2	0.03287687480331244
D.sec-3	Dpau06-3	0.022470025949301753
D.sec-3	Dpau06-4	0.02247002594930175
D.sec-3	Dpau06-5	0.02247002594930175
D.sec-3	Dpau06-6	0.02247002594930175
D.sec-3	Dpau06-7	0.03287687480331244
D.sec-3	Dpau06-8	0.022470025949301753
D.sec-3	Dpau06-9	0.022470025949301753
D.sec-3	DsimS9-1	0.004348367210671657
D.sec-3	DsimS9-10	0.009847221949304152
D.sec-3	DsimS9-11	0.004348367210671657
D.sec-3	DsimS9-12	0.004348367210671657
D.sec-3	DsimS9-13	0.004348367210671658
D.sec-3	DsimS9-14	0.009847221949304152
D.sec-3	DsimS9-2	0.004348367210671657
D.sec-3	DsimS9-3	0.004348367210671657
D.sec-3	DsimS9-4	0.004348367210671657
D.sec-3	DsimS9-5	0.004348367210671657
D.sec-3	DsimS9-6	0.01071814526367422
D.sec-3	DsimS9-7	0.004348367210671658
D.sec-3	DsimS9-8	0.009847221949304152
D.sec-3	DsimS9-9	0.004348367210671657
D.sec-3	Dwil17-2	0.02247002594930175
D.sec-3	Dwil17-3	0.035488272485454636
D.sec-3	Dwil17-4	0.02247002594930175
D.sec-4	D.car-2	0.0468287865259227
D.sec-4	D.car-3	0.0468287865259227
D.sec-4	D.car-4	0.0468287865259227
D.sec-4	D.car-5	0.0468287865259227
D.sec-4	D.car-6	0.0468287865259227
D.sec-4	D.car-7	0.0468287865259227
D.sec-4	D.equ-1	0.02247002594930175
D.sec-4	D.equ-2	0.02247002594930175
D.sec-4	D.equ-3	0.028214073396171248
D.sec-4	D.equ-4	0.02247002594930175
D.sec-4	D.ins-1	0.03548827248545464
D.sec-4	D.ins-2	0.03548827248545464
D.sec-4	D.ins-3	0.03548827248545464
