A	B	dist
D.equ-1	D.car-2	0.0468287865259227
D.equ-1	D.car-3	0.0468287865259227
D.equ-1	D.car-4	0.0468287865259227
D.equ-1	D.car-5	0.0468287865259227
D.equ-1	D.car-6	0.0468287865259227
D.equ-1	D.car-7	0.0468287865259227
D.equ-1	D.equ-1	0
D.equ-1	D.equ-2	0.001469432733272893
D.equ-1	D.equ-3	0.028214073396171248
D.equ-1	D.equ-4	0.0019453631531217222
D.equ-1	D.ins-1	0.03548827248545464
D.equ-1	D.ins-2	0.03548827248545464
D.equ-1	D.ins-3	0.03548827248545464
D.equ-1	D.ins-4	0.035488272485454636
D.equ-1	D.sec-1	0.02247002594930175
D.equ-1	D.sec-2	0.02247002594930175
D.equ-1	D.sec-3	0.02247002594930175
D.equ-1	D.sec-4	0.02247002594930175
D.equ-1	D.sec-5	0.022470025949301746
D.equ-1	D.sec-6	0.022470025949301746
D.equ-1	D.tro-1	0.007069729627704765
D.equ-1	D.tro-2	0.007069729627704766
D.equ-1	D.tro-3	0.007069729627704767
D.equ-1	D.tro-4	0.007069729627704765
D.equ-1	D.tro-5	0.007069729627704765
D.equ-1	DmelR7-1	0.02247002594930175
D.equ-1	DmelR7-10	0.022470025949301753
D.equ-1	DmelR7-11	0.02247002594930175
D.equ-1	DmelR7-12	0.02247002594930175
D.equ-1	DmelR7-13	0.02247002594930175
D.equ-1	DmelR7-14	0.022470025949301753
D.equ-1	DmelR7-15	0.02247002594930175
D.equ-1	DmelR7-16	0.02247002594930175
D.equ-1	DmelR7-17	0.022470025949301753
D.equ-1	DmelR7-18	0.02247002594930175
D.equ-1	DmelR7-19	0.02247002594930175
D.equ-1	DmelR7-2	0.02247002594930175
D.equ-1	DmelR7-20	0.02247002594930175
D.equ-1	DmelR7-21	0.02247002594930175
D.equ-1	DmelR7-3	0.022470025949301753
D.equ-1	DmelR7-4	0.02247002594930175
D.equ-1	DmelR7-5	0.02247002594930175
D.equ-1	DmelR7-6	0.02247002594930175
D.equ-1	DmelR7-7	0.022470025949301753
D.equ-1	DmelR7-8	0.02247002594930175
D.equ-1	DmelR7-9	0.02247002594930175
D.equ-1	Dpau06-1	0.006132576915812346
D.equ-1	Dpau06-2	0.032876874803312445
D.equ-1	Dpau06-3	0.006132576915812346
D.equ-1	Dpau06-4	0.005694742829582744
D.equ-1	Dpau06-5	0.003892634334450411
D.equ-1	Dpau06-6	0.005694742829582744
D.equ-1	Dpau06-7	0.032876874803312445
D.equ-1	Dpau06-8	0.006132576915812346
D.equ-1	Dpau06-9	0.006132576915812346
D.equ-1	DsimS9-1	0.02247002594930175
D.equ-1	DsimS9-10	0.022470025949301753
D.equ-1	DsimS9-11	0.022470025949301753
D.equ-1	DsimS9-12	0.022470025949301753
D.equ-1	DsimS9-13	0.02247002594930175
D.equ-1	DsimS9-14	0.022470025949301756
D.equ-1	DsimS9-2	0.022470025949301753
D.equ-1	DsimS9-3	0.022470025949301753
D.equ-1	DsimS9-4	0.022470025949301753
D.equ-1	DsimS9-5	0.02247002594930175
D.equ-1	DsimS9-6	0.022470025949301753
D.equ-1	DsimS9-7	0.02247002594930175
D.equ-1	DsimS9-8	0.022470025949301756
D.equ-1	DsimS9-9	0.02247002594930175
D.equ-1	Dwil17-2	0.0059175428190510835
D.equ-1	Dwil17-3	0.035488272485454636
D.equ-1	Dwil17-4	0.005694742829582744
D.equ-2	D.car-2	0.0468287865259227
D.equ-2	D.car-3	0.0468287865259227
D.equ-2	D.car-4	0.0468287865259227
D.equ-2	D.car-5	0.0468287865259227
D.equ-2	D.car-6	0.0468287865259227
D.equ-2	D.car-7	0.0468287865259227
D.equ-2	D.equ-1	0.001469432733272893
D.equ-2	D.equ-2	0
D.equ-2	D.equ-3	0.028214073396171248
D.equ-2	D.equ-4	0.0019453631531217222
D.equ-2	D.ins-1	0.03548827248545464
D.equ-2	D.ins-2	0.03548827248545464
D.equ-2	D.ins-3	0.03548827248545464
D.equ-2	D.ins-4	0.035488272485454636
D.equ-2	D.sec-1	0.02247002594930175
D.equ-2	D.sec-2	0.02247002594930175
D.equ-2	D.sec-3	0.02247002594930175
D.equ-2	D.sec-4	0.02247002594930175
D.equ-2	D.sec-5	0.022470025949301746
D.equ-2	D.sec-6	0.022470025949301746
D.equ-2	D.tro-1	0.007069729627704765
D.equ-2	D.tro-2	0.007069729627704766
D.equ-2	D.tro-3	0.007069729627704767
D.equ-2	D.tro-4	0.007069729627704765
D.equ-2	D.tro-5	0.007069729627704765
D.equ-2	DmelR7-1	0.02247002594930175
D.equ-2	DmelR7-10	0.022470025949301753
D.equ-2	DmelR7-11	0.02247002594930175
D.equ-2	DmelR7-12	0.02247002594930175
D.equ-2	DmelR7-13	0.02247002594930175
D.equ-2	DmelR7-14	0.022470025949301753
D.equ-2	DmelR7-15	0.02247002594930175
D.equ-2	DmelR7-16	0.02247002594930175
D.equ-2	DmelR7-17	0.022470025949301753
D.equ-2	DmelR7-18	0.02247002594930175
D.equ-2	DmelR7-19	0.02247002594930175
D.equ-2	DmelR7-2	0.02247002594930175
D.equ-2	DmelR7-20	0.02247002594930175
D.equ-2	DmelR7-21	0.02247002594930175
D.equ-2	DmelR7-3	0.022470025949301753
D.equ-2	DmelR7-4	0.02247002594930175
D.equ-2	DmelR7-5	0.02247002594930175
D.equ-2	DmelR7-6	0.02247002594930175
D.equ-2	DmelR7-7	0.022470025949301753
D.equ-2	DmelR7-8	0.02247002594930175
D.equ-2	DmelR7-9	0.02247002594930175
D.equ-2	Dpau06-1	0.006132576915812346
D.equ-2	Dpau06-2	0.032876874803312445
D.equ-2	Dpau06-3	0.006132576915812346
D.equ-2	Dpau06-4	0.005694742829582744
D.equ-2	Dpau06-5	0.003892634334450411
D.equ-2	Dpau06-6	0.005694742829582744
D.equ-2	Dpau06-7	0.032876874803312445
D.equ-2	Dpau06-8	0.006132576915812346
D.equ-2	Dpau06-9	0.006132576915812346
D.equ-2	DsimS9-1	0.02247002594930175
D.equ-2	DsimS9-10	0.022470025949301753
D.equ-2	DsimS9-11	0.022470025949301753
D.equ-2	DsimS9-12	0.022470025949301753
D.equ-2	DsimS9-13	0.02247002594930175
D.equ-2	DsimS9-14	0.022470025949301756
D.equ-2	DsimS9-2	0.022470025949301753
D.equ-2	DsimS9-3	0.022470025949301753
D.equ-2	DsimS9-4	0.022470025949301753
D.equ-2	DsimS9-5	0.02247002594930175
