dN/dS	 dN	 dS
0.0247	0.0802	3.2426
0.0089	0.0201	2.2544
0.0077	0.0158	2.0442
0.0447	0.0975	2.1786
0.0326	0.1147	3.5173
0.0536	0.1973	3.6784
0.013	0.0282	2.1793
0.002	0.1497	2.1793
0.0189	0.051	2.6942
0.0089	0.0616	6.9599
0.0323	0.1545	4.7837
0.0308	0.0712	2.3117
0.001	0.0737	2.3117
0.0164	0.0327	1.9956
0.0016	0.0995	1.9956
0.0299	0.1018	3.4032
0.0292	0.1006	3.4409
0.0093	0.0208	2.2366
0.0263	0.0853	3.25
0.05	0.1942	3.8798
0.0465	0.0971	2.0884
0.0039	0.2761	2.0884
0.0284	0.0596	2.0952
0.0202	0.0747	3.7058
0.1999	0.2391	1.1963
0.0147	0.1906	1.1963
0.0102	0.0181	1.7766
0.031	0.083	2.6808
0.0416	0.1784	4.2921
0.0205	0.0761	3.7049
0.036	0.1932	5.3711
0.0474	0.1254	2.6451
0.0341	0.161	4.7279
0.0028	0.0055	1.963
0.0335	0.0871	2.604
0.0386	0.0936	2.4225
0.057	0.1992	3.4964
0.0063	0.0098	1.5486
0.0181	0.0346	1.9163
0.0093	0.0249	2.674
0.0434	0.0999	2.3004
0.0205	0.0448	2.1811
0.0591	0.1955	3.3056
0.0232	0.0847	3.6443
0.0183	0.0434	2.3693
0.0744	0.2897	3.8929
0.0413	0.107	2.5908
0.0301	0.0664	2.2058
0.0724	0.1584	2.1887
0.0397	0.075	1.8873
0.0357	0.0751	2.1018
0.0072	0.2841	2.1018
0.0282	0.0455	1.6131
0.0279	0.0823	2.951
0.008	0.4832	2.951
0.0451	0.1442	3.2004
0.0017	0.1293	3.2004
0.0457	0.0961	2.1002
0.0346	0.2252	6.5021
0.0795	0.4875	6.1308
0.0696	0.2811	4.0362
0.0401	0.1082	2.6973
0.0263	0.1176	4.4714
0.0391	0.1194	3.0561
0.0593	0.1427	2.4048
0.0469	0.2111	4.497
0.0426	0.1798	4.2246
0.0243	0.0843	3.4752
0.0301	0.0941	3.1278
0.0183	0.0456	2.4919
0.0214	0.0547	2.5592
0.0165	0.0493	2.9926
0.0311	0.0625	2.009
0.0322	0.074	2.2992
0.0335	0.0544	1.6235
0.0443	0.2047	4.6174
0.0514	0.1266	2.463
0.0077	0.0172	2.2334
0.0307	0.1054	3.4304
0.0661	0.244	3.6939
0.0289	0.0915	3.1627
0.0136	0.0946	6.9398
0.0879	0.2985	3.3968
0.0568	0.182	3.2074
0.0466	0.1099	2.3589
0.0161	0.0377	2.3444
0.0199	0.081	4.066
0.0143	0.2031	4.066
0.0324	0.0997	3.0828
0.0443	0.098	2.2104
0.0218	0.0995	4.5651
0.0429	0.1603	3.738
0.0223	0.0575	2.5812
0.0075	0.0791	2.5812
0.0444	0.1093	2.4624
0.0139	0.0625	4.4993
0.0199	0.1073	5.3863
0.0032	0.2046	5.3863
0.0441	0.0985	2.2311
0.0381	0.1165	3.0609
0.0373	0.1471	3.9417
0.0187	0.1672	8.9256
0.0221	0.0771	3.4865
0.0273	0.0475	1.741
0.0709	0.2253	3.1762
0.053	0.1507	2.8417
0.0357	0.0679	1.9045
0.0314	0.1313	4.1823
0.0484	0.1435	2.9683
0.0224	0.1945	8.6696
0.0363	0.1431	3.9409
0.0171	0.0264	1.5477
0.0215	0.1466	6.8092
0.025	0.1044	4.182
0.0725	0.1323	1.8246
0.0292	0.075	2.5681
0.0356	0.0772	2.1679
0.0232	0.0972	4.1924
0.0026	0.1761	4.1924
0.001	0.0272	4.1924
0.0185	0.1911	4.1924
0.0767	0.1591	2.0739
0.0175	0.0231	1.3178
0.0598	0.1197	2.0025
0.027	0.0561	2.0816
0.0234	0.0906	3.8747
0.0385	0.1406	3.6533
0.0481	0.1766	3.6733
0.0368	0.0957	2.5999
0.0154	0.1388	9.0288
0.0429	0.2388	5.5664
0.0023	0.1155	5.5664
0.0436	0.0733	1.6802
0.0018	0.1212	1.6802
0.0404	0.0714	1.7698
0.0897	0.1242	1.3837
0.0397	0.0616	1.5507
0.0286	0.0933	3.2648
0.0098	0.1162	3.2648
