Busco id	Status	Sequence	Gene Start	Gene End	Strand	Score	Length	OrthoDB url	Description
20at7147	Complete	JAEIGE010000332.1:32015976-31971203	32015976	31971203	-	12018.1	7443	https://www.orthodb.org/v10?query=20at7147	Immunoglobulin-like domain
29at7147	Complete	JAEIGE010000213.1:4541609-4565150	4541609	4565150	+	9092.3	4263	https://www.orthodb.org/v10?query=29at7147	Ryanodine receptor
51at7147	Complete	JAEIGE010000002.1:1042132-1024277	1042132	1024277	-	8492.4	3983	https://www.orthodb.org/v10?query=51at7147	Dynein heavy chain
80at7147	Complete	JAEIGE010000332.1:13645663-13678222	13645663	13678222	+	7257.8	4080	https://www.orthodb.org/v10?query=80at7147	Dynein heavy chain
94at7147	Complete	JAEIGE010000332.1:18735075-18717101	18735075	18717101	-	4862.6	3088	https://www.orthodb.org/v10?query=94at7147	Ubiquitin-conjugating enzyme E2
158at7147	Complete	JAEIGE010000213.1:938063-924950	938063	924950	-	3517.5	2660	https://www.orthodb.org/v10?query=158at7147	Vacuolar protein sorting-associated protein 13
161at7147	Complete	JAEIGE010000227.1:24007850-23987745	24007850	23987745	-	6258.7	3141	https://www.orthodb.org/v10?query=161at7147	EGF-like calcium-binding, conserved site
169at7147	Complete	JAEIGE010000002.1:8255963-8244483	8255963	8244483	-	4642.5	3055	https://www.orthodb.org/v10?query=169at7147	Laminin, N-terminal
178at7147	Complete	JAEIGE010000142.1:1054905-1037384	1054905	1037384	-	6154.8	5383	https://www.orthodb.org/v10?query=178at7147	Pleckstrin homology domain
208at7147	Complete	JAEIGE010000299.1:785177-798544	785177	798544	+	5405.9	2793	https://www.orthodb.org/v10?query=208at7147	GPCR, family 2, extracellular hormone receptor domain
268at7147	Complete	JAEIGE010000227.1:18576696-18600219	18576696	18600219	+	4693.5	3309	https://www.orthodb.org/v10?query=268at7147	Dynein heavy chain
287at7147	Complete	JAEIGE010000253.1:3851303-3864952	3851303	3864952	+	4541.8	2540	https://www.orthodb.org/v10?query=287at7147	WD40-repeat-containing domain
296at7147	Complete	JAEIGE010000227.1:4737150-4752729	4737150	4752729	+	4158.0	2504	https://www.orthodb.org/v10?query=296at7147	SRCR-like domain
300at7147	Complete	JAEIGE010000332.1:8365115-8378463	8365115	8378463	+	5298.5	2847	https://www.orthodb.org/v10?query=300at7147	protein unc-80 homolog isoform X1
304at7147	Complete	JAEIGE010000253.1:26873914-26889572	26873914	26889572	+	6291.4	3713	https://www.orthodb.org/v10?query=304at7147	Cytochrome b5-like heme/steroid binding domain
328at7147	Complete	JAEIGE010000227.1:7669460-7687268	7669460	7687268	+	6278.3	3809	https://www.orthodb.org/v10?query=328at7147	protein purity of essence
329at7147	Complete	JAEIGE010000299.1:4294636-4273816	4294636	4273816	-	4376.9	2657	https://www.orthodb.org/v10?query=329at7147	Immunoglobulin-like domain
376at7147	Complete	JAEIGE010000332.1:19485168-19495371	19485168	19495371	+	4253.9	2148	https://www.orthodb.org/v10?query=376at7147	CRAL-TRIO lipid binding domain
377at7147	Complete	JAEIGE010000227.1:7699338-7689360	7699338	7689360	-	3178.4	2153	https://www.orthodb.org/v10?query=377at7147	EGF-like calcium-binding, conserved site
396at7147	Complete	JAEIGE010000239.1:2827360-2844472	2827360	2844472	+	5407.5	4026	https://www.orthodb.org/v10?query=396at7147	Midasin
423at7147	Complete	JAEIGE010000002.1:1654668-1590087	1654668	1590087	-	4638.3	2581	https://www.orthodb.org/v10?query=423at7147	protein furry isoform X1
432at7147	Complete	JAEIGE010000253.1:22173443-22110841	22173443	22110841	-	3343.8	4694	https://www.orthodb.org/v10?query=432at7147	Immunoglobulin-like domain
459at7147	Complete	JAEIGE010000332.1:24549962-24558756	24549962	24558756	+	3557.5	1957	https://www.orthodb.org/v10?query=459at7147	probable ubiquitin carboxyl-terminal hydrolase FAF isoform X1
466at7147	Complete	JAEIGE010000227.1:7945988-7938168	7945988	7938168	-	3783.4	2055	https://www.orthodb.org/v10?query=466at7147	Serine/threonine-protein kinase TOR
491at7147	Complete	JAEIGE010000332.1:13889891-13926398	13889891	13926398	+	2054.3	1828	https://www.orthodb.org/v10?query=491at7147	Huntingtin protein
508at7147	Complete	JAEIGE010000213.1:10607832-10594125	10607832	10594125	-	3695.8	2567	https://www.orthodb.org/v10?query=508at7147	Vacuolar protein sorting-associated protein 13
509at7147	Complete	JAEIGE010000308.1:2153249-2161921	2153249	2161921	+	4656.4	2095	https://www.orthodb.org/v10?query=509at7147	pre-mRNA-processing-splicing factor 8
516at7147	Complete	JAEIGE010000332.1:14290820-14304240	14290820	14304240	+	4324.8	2345	https://www.orthodb.org/v10?query=516at7147	Ubiquitin carboxyl-terminal hydrolase 34
556at7147	Complete	JAEIGE010000326.1:2733340-2696769	2733340	2696769	-	3218.3	1968	https://www.orthodb.org/v10?query=556at7147	Ankyrin repeat-containing domain
566at7147	Complete	JAEIGE010000227.1:2338827-2359155	2338827	2359155	+	3083.7	1911	https://www.orthodb.org/v10?query=566at7147	chondroitin sulfate proteoglycan 4
591at7147	Complete	JAEIGE010000253.1:13672725-13661619	13672725	13661619	-	2385.3	1436	https://www.orthodb.org/v10?query=591at7147	protein pecanex
595at7147	Complete	JAEIGE010000332.1:19820684-19831414	19820684	19831414	+	3585.7	2094	https://www.orthodb.org/v10?query=595at7147	HECT domain
597at7147	Complete	JAEIGE010000332.1:28090308-28098953	28090308	28098953	+	3097.7	1787	https://www.orthodb.org/v10?query=597at7147	Translational activator gcn1
608at7147	Complete	JAEIGE010000213.1:1259060-1270126	1259060	1270126	+	4350.1	2153	https://www.orthodb.org/v10?query=608at7147	EF-hand domain
610at7147	Complete	JAEIGE010000332.1:2322235-2329860	2322235	2329860	+	3306.4	1875	https://www.orthodb.org/v10?query=610at7147	Leucine-rich repeat
612at7147	Complete	JAEIGE010000299.1:6104058-6114270	6104058	6114270	+	3081.7	1795	https://www.orthodb.org/v10?query=612at7147	CCR4-NOT transcription complex, subunit
626at7147	Complete	JAEIGE010000332.1:13690915-13680678	13690915	13680678	-	2412.1	2054	https://www.orthodb.org/v10?query=626at7147	Immunoglobulin-like domain
648at7147	Complete	JAEIGE010000253.1:9064106-9056364	9064106	9056364	-	4158.4	2056	https://www.orthodb.org/v10?query=648at7147	Spectrin beta chain
698at7147	Complete	JAEIGE010000016.1:8139019-8152413	8139019	8152413	+	4338.6	2280	https://www.orthodb.org/v10?query=698at7147	FERM domain
729at7147	Complete	JAEIGE010000016.1:2639933-2633143	2639933	2633143	-	3849.3	1873	https://www.orthodb.org/v10?query=729at7147	putative U5 small nuclear ribonucleoprotein 200 kDa helicase
745at7147	Complete	JAEIGE010000253.1:4100824-4108911	4100824	4108911	+	2665.8	1531	https://www.orthodb.org/v10?query=745at7147	EGF-like calcium-binding, conserved site
762at7147	Complete	JAEIGE010000308.1:4168214-4158923	4168214	4158923	-	4006.5	2023	https://www.orthodb.org/v10?query=762at7147	dnaJ homolog subfamily C member 13 isoform X1
765at7147	Complete	JAEIGE010000299.1:5140792-5149374	5140792	5149374	+	2189.0	2007	https://www.orthodb.org/v10?query=765at7147	small subunit processome component 20 homolog
784at7147	Complete	JAEIGE010000227.1:26110161-26082346	26110161	26082346	-	3112.5	1698	https://www.orthodb.org/v10?query=784at7147	Dedicator of cytokinesis
811at7147	Complete	JAEIGE010000299.1:7684902-7696276	7684902	7696276	+	3402.0	1701	https://www.orthodb.org/v10?query=811at7147	Acetyl-CoA carboxylase
814at7147	Complete	JAEIGE010000253.1:9265883-9280132	9265883	9280132	+	1625.6	1349	https://www.orthodb.org/v10?query=814at7147	serine/threonine-protein kinase Smg1
824at7147	Complete	JAEIGE010000253.1:22744567-22733353	22744567	22733353	-	2191.2	1131	https://www.orthodb.org/v10?query=824at7147	Carbamoyl-phosphate synthase small subunit, N-terminal domain
839at7147	Complete	JAEIGE010000332.1:9971756-9979119	9971756	9979119	+	1936.8	1364	https://www.orthodb.org/v10?query=839at7147	cadherin-89D
860at7147	Complete	JAEIGE010000016.1:8319818-8342540	8319818	8342540	+	1411.4	918	https://www.orthodb.org/v10?query=860at7147	Mediator of RNA polymerase II transcription subunit 13
869at7147	Complete	JAEIGE010000332.1:29883586-29899711	29883586	29899711	+	3561.6	2051	https://www.orthodb.org/v10?query=869at7147	protein unc-79 homolog isoform X1
