Busco id	Status	Sequence	Gene Start	Gene End	Strand	Score	Length	OrthoDB url	Description
20at7147	Complete	CM034723.1:750085-799918	750085	799918	+	11751.0	7151	https://www.orthodb.org/v10?query=20at7147	Immunoglobulin-like domain
29at7147	Complete	CM034720.1:9046276-9071132	9046276	9071132	+	9097.5	4265	https://www.orthodb.org/v10?query=29at7147	Ryanodine receptor
51at7147	Complete	CM034721.1:4944237-4926315	4944237	4926315	-	7903.4	3758	https://www.orthodb.org/v10?query=51at7147	Dynein heavy chain
80at7147	Complete	CM034722.1:30098528-30130403	30098528	30130403	+	7131.7	4009	https://www.orthodb.org/v10?query=80at7147	Dynein heavy chain
94at7147	Complete	CM034722.1:11253716-11236349	11253716	11236349	-	4811.6	3066	https://www.orthodb.org/v10?query=94at7147	Ubiquitin-conjugating enzyme E2
158at7147	Complete	CM034721.1:12996233-13009645	12996233	13009645	+	4006.5	2952	https://www.orthodb.org/v10?query=158at7147	Vacuolar protein sorting-associated protein 13
161at7147	Complete	CM034719.1:7162193-7148540	7162193	7148540	-	6268.9	3127	https://www.orthodb.org/v10?query=161at7147	EGF-like calcium-binding, conserved site
169at7147	Complete	CM034721.1:6387669-6376128	6387669	6376128	-	4388.2	2938	https://www.orthodb.org/v10?query=169at7147	Laminin, N-terminal
178at7147	Complete	CM034721.1:3377558-3393762	3377558	3393762	+	5743.5	3228	https://www.orthodb.org/v10?query=178at7147	Pleckstrin homology domain
208at7147	Complete	CM034720.1:10867794-10880167	10867794	10880167	+	5484.1	2786	https://www.orthodb.org/v10?query=208at7147	GPCR, family 2, extracellular hormone receptor domain
268at7147	Complete	CM034719.1:18086769-18067030	18086769	18067030	-	4666.8	3213	https://www.orthodb.org/v10?query=268at7147	Dynein heavy chain
287at7147	Complete	CM034718.1:6178633-6164749	6178633	6164749	-	4597.8	2524	https://www.orthodb.org/v10?query=287at7147	WD40-repeat-containing domain
296at7147	Complete	CM034719.1:3825203-3836743	3825203	3836743	+	4223.3	2480	https://www.orthodb.org/v10?query=296at7147	SRCR-like domain
300at7147	Complete	CM034722.1:29278431-29292127	29278431	29292127	+	5017.0	2731	https://www.orthodb.org/v10?query=300at7147	protein unc-80 homolog isoform X1
304at7147	Complete	CM034718.1:20576135-20592806	20576135	20592806	+	6373.3	3701	https://www.orthodb.org/v10?query=304at7147	Cytochrome b5-like heme/steroid binding domain
328at7147	Complete	CM034719.1:8220487-8203552	8220487	8203552	-	6710.0	4063	https://www.orthodb.org/v10?query=328at7147	protein purity of essence
329at7147	Complete	CM034720.1:24188362-24171034	24188362	24171034	-	4446.2	2655	https://www.orthodb.org/v10?query=329at7147	Immunoglobulin-like domain
376at7147	Complete	CM034722.1:27514956-27525455	27514956	27525455	+	4264.1	2167	https://www.orthodb.org/v10?query=376at7147	CRAL-TRIO lipid binding domain
377at7147	Complete	CM034719.1:8192660-8201965	8192660	8201965	+	3221.0	2262	https://www.orthodb.org/v10?query=377at7147	EGF-like calcium-binding, conserved site
396at7147	Complete	CM034720.1:12096239-12078953	12096239	12078953	-	5508.5	4060	https://www.orthodb.org/v10?query=396at7147	Midasin
423at7147	Complete	CM034721.1:9747963-9704789	9747963	9704789	-	4399.4	2457	https://www.orthodb.org/v10?query=423at7147	protein furry isoform X1
432at7147	Complete	CM034718.1:2561899-2490369	2561899	2490369	-	3559.7	3212	https://www.orthodb.org/v10?query=432at7147	Immunoglobulin-like domain
459at7147	Complete	CM034722.1:33416753-33428004	33416753	33428004	+	3536.5	1973	https://www.orthodb.org/v10?query=459at7147	probable ubiquitin carboxyl-terminal hydrolase FAF isoform X1
466at7147	Complete	CM034719.1:13131177-13139331	13131177	13139331	+	3781.2	2082	https://www.orthodb.org/v10?query=466at7147	Serine/threonine-protein kinase TOR
491at7147	Complete	CM034722.1:30307270-30344538	30307270	30344538	+	1947.2	1666	https://www.orthodb.org/v10?query=491at7147	Huntingtin protein
508at7147	Complete	CM034720.1:7760281-7773452	7760281	7773452	+	3720.4	2548	https://www.orthodb.org/v10?query=508at7147	Vacuolar protein sorting-associated protein 13
509at7147	Complete	CM034720.1:12373398-12365086	12373398	12365086	-	4781.7	2090	https://www.orthodb.org/v10?query=509at7147	pre-mRNA-processing-splicing factor 8
516at7147	Complete	CM034722.1:26179553-26167602	26179553	26167602	-	3914.6	2151	https://www.orthodb.org/v10?query=516at7147	Ubiquitin carboxyl-terminal hydrolase 34
556at7147	Complete	CM034719.1:10440748-10432257	10440748	10432257	-	3478.1	2162	https://www.orthodb.org/v10?query=556at7147	Ankyrin repeat-containing domain
566at7147	Complete	CM034719.1:18605444-18586237	18605444	18586237	-	2952.4	1824	https://www.orthodb.org/v10?query=566at7147	chondroitin sulfate proteoglycan 4
591at7147	Complete	CM034718.1:2254654-2265529	2254654	2265529	+	2007.0	1181	https://www.orthodb.org/v10?query=591at7147	protein pecanex
595at7147	Complete	CM034722.1:10736235-10725662	10736235	10725662	-	3307.7	2170	https://www.orthodb.org/v10?query=595at7147	HECT domain
597at7147	Complete	CM034721.1:28525163-28479933	28525163	28479933	-	3037.2	1937	https://www.orthodb.org/v10?query=597at7147	Translational activator gcn1
608at7147	Complete	CM034721.1:1792052-1781976	1792052	1781976	-	4108.7	2040	https://www.orthodb.org/v10?query=608at7147	EF-hand domain
610at7147	Complete	CM034722.1:8929445-8921129	8929445	8921129	-	3399.9	1905	https://www.orthodb.org/v10?query=610at7147	Leucine-rich repeat
612at7147	Complete	CM034720.1:9759255-9748946	9759255	9748946	-	2743.6	1657	https://www.orthodb.org/v10?query=612at7147	CCR4-NOT transcription complex, subunit
626at7147	Complete	CM034722.1:30142548-30132223	30142548	30132223	-	2359.2	2174	https://www.orthodb.org/v10?query=626at7147	Immunoglobulin-like domain
648at7147	Complete	CM034718.1:17775140-17782888	17775140	17782888	+	4161.2	2056	https://www.orthodb.org/v10?query=648at7147	Spectrin beta chain
698at7147	Complete	CM034721.1:8649879-8662178	8649879	8662178	+	4360.2	2279	https://www.orthodb.org/v10?query=698at7147	FERM domain
729at7147	Complete	CM034721.1:16206794-16200047	16206794	16200047	-	3054.5	1500	https://www.orthodb.org/v10?query=729at7147	putative U5 small nuclear ribonucleoprotein 200 kDa helicase
745at7147	Complete	CM034718.1:15997670-16004720	15997670	16004720	+	2663.5	1456	https://www.orthodb.org/v10?query=745at7147	EGF-like calcium-binding, conserved site
762at7147	Complete	CM034720.1:9353724-9345068	9353724	9345068	-	3922.2	1979	https://www.orthodb.org/v10?query=762at7147	dnaJ homolog subfamily C member 13 isoform X1
765at7147	Complete	CM034720.1:22658990-22667506	22658990	22667506	+	2262.8	1933	https://www.orthodb.org/v10?query=765at7147	small subunit processome component 20 homolog
784at7147	Complete	CM034719.1:7649516-7638923	7649516	7638923	-	3054.0	1655	https://www.orthodb.org/v10?query=784at7147	Dedicator of cytokinesis
811at7147	Complete	CM034720.1:8168223-8156956	8168223	8156956	-	3728.8	1839	https://www.orthodb.org/v10?query=811at7147	Acetyl-CoA carboxylase
814at7147	Complete	CM034718.1:6730099-6742768	6730099	6742768	+	1679.2	1411	https://www.orthodb.org/v10?query=814at7147	serine/threonine-protein kinase Smg1
824at7147	Complete	CM034718.1:16759017-16771211	16759017	16771211	+	2195.6	1140	https://www.orthodb.org/v10?query=824at7147	Carbamoyl-phosphate synthase small subunit, N-terminal domain
839at7147	Complete	CM034722.1:17788776-17780445	17788776	17780445	-	1914.6	1341	https://www.orthodb.org/v10?query=839at7147	cadherin-89D
860at7147	Complete	CM034721.1:21369569-21348723	21369569	21348723	-	1418.6	937	https://www.orthodb.org/v10?query=860at7147	Mediator of RNA polymerase II transcription subunit 13
869at7147	Complete	CM034722.1:20564023-20549091	20564023	20549091	-	3189.0	1869	https://www.orthodb.org/v10?query=869at7147	protein unc-79 homolog isoform X1
889at7147	Complete	CM034721.1:8590080-8577938	8590080	8577938	-	2727.2	1738	https://www.orthodb.org/v10?query=889at7147	tetratricopeptide repeat protein 28
898at7147	Complete	CM034718.1:11065800-11053406	11065800	11053406	-	957.8	1114	https://www.orthodb.org/v10?query=898at7147	Tyrosine-protein kinase receptor
920at7147	Complete	CM034721.1:17056555-17045198	17056555	17045198	-	3104.6	1579	https://www.orthodb.org/v10?query=920at7147	Glutamate synthase, alpha subunit, C-terminal
967at7147	Complete	CM034722.1:8761992-8679562	8761992	8679562	-	2750.0	1564	https://www.orthodb.org/v10?query=967at7147	HEAT repeat-containing protein 5B isoform X1
969at7147	Complete	CM034718.1:1394309-1401007	1394309	1401007	+	2004.1	1859	https://www.orthodb.org/v10?query=969at7147	uncharacterized protein LOC108023667
976at7147	Complete	CM034722.1:24206713-24199794	24206713	24199794	-	2344.4	1435	https://www.orthodb.org/v10?query=976at7147	endoribonuclease Dcr-1
977at7147	Complete	CM034719.1:7979729-7985168	7979729	7985168	+	2411.3	1464	https://www.orthodb.org/v10?query=977at7147	laminin subunit beta-1
981at7147	Complete	CM034722.1:9849168-9811374	9849168	9811374	-	2129.2	1350	https://www.orthodb.org/v10?query=981at7147	PDZ domain
1009at7147	Complete	CM034723.1:1101663-1112664	1101663	1112664	+	2819.1	2567	https://www.orthodb.org/v10?query=1009at7147	apolipophorins
1015at7147	Complete	CM034722.1:26773336-26782255	26773336	26782255	+	993.9	997	https://www.orthodb.org/v10?query=1015at7147	Zinc finger, RanBP2-type
1017at7147	Complete	CM034719.1:288288-305769	288288	305769	+	1665.8	2307	https://www.orthodb.org/v10?query=1017at7147	SHARP, RNA recognition motif 2
1064at7147	Complete	CM034720.1:18666015-18649157	18666015	18649157	-	2372.4	1389	https://www.orthodb.org/v10?query=1064at7147	WD40 repeat
1082at7147	Complete	CM034719.1:19935316-19929469	19935316	19929469	-	1534.4	1171	https://www.orthodb.org/v10?query=1082at7147	GTPase-activating protein CdGAPr
1099at7147	Complete	CM034720.1:12436675-12419501	12436675	12419501	-	2347.1	1506	https://www.orthodb.org/v10?query=1099at7147	proteasome-associated protein ECM29 homolog
1122at7147	Complete	CM034720.1:21505325-21522244	21505325	21522244	+	2154.8	1248	https://www.orthodb.org/v10?query=1122at7147	SNF2-related, N-terminal domain
1142at7147	Complete	CM034718.1:19986241-19993206	19986241	19993206	+	1933.7	1479	https://www.orthodb.org/v10?query=1142at7147	Nuclear pore complex protein Nup205
1152at7147	Complete	CM034721.1:1596547-1602740	1596547	1602740	+	1054.2	972	https://www.orthodb.org/v10?query=1152at7147	BTB/POZ domain
1190at7147	Complete	CM034722.1:16749318-16755937	16749318	16755937	+	2881.8	1564	https://www.orthodb.org/v10?query=1190at7147	activating signal cointegrator 1 complex subunit 3
1204at7147	Complete	CM034722.1:17250414-17256428	17250414	17256428	+	2468.2	1438	https://www.orthodb.org/v10?query=1204at7147	SNF2-related, N-terminal domain
